arrival_info,stop_number,stop_name,stop_id,latitude,longitude,direction,route_id,route_name
28分鐘,12,靜心高中,1168700320,24.998797,121.545859,come,0100000B00,0南
28分鐘,13,興隆市場,1168700020,24.999632,121.547902,come,0100000B00,0南
29分鐘,14,興德國小,1168900420,25.00097,121.5503078,come,0100000B00,0南
31分鐘,15,興隆國小,1169000020,25.001221,121.5533283,come,0100000B00,0南
進站中,16,捷運萬芳醫院站,1169500121,24.999051,121.557681,come,0100000B00,0南
3分鐘,17,臺灣警察專科學校,1169800240,24.998268,121.5584948,come,0100000B00,0南
4分鐘,18,文山運動中心(萬芳),1169600020,24.996958,121.56078,come,0100000B00,0南
5分鐘,19,棕櫚泉社區,1169600320,24.99729,121.56229,come,0100000B00,0南
6分鐘,20,萬利街口,1165300220,24.998733,121.56623,come,0100000B00,0南
7分鐘,21,捷運萬芳社區站,1165300120,24.998858,121.5680836,come,0100000B00,0南
8分鐘,22,萬芳6號公園,1165300500,24.999654,121.569055,come,0100000B00,0南
8分鐘,23,萬芳國小,1165300460,25.001533,121.567472,come,0100000B00,0南
9分鐘,24,萬芳活動中心,1166500420,25.002391,121.5683789,come,0100000B00,0南
9分鐘,25,萬芳社區,1165300320,25.002253,121.5698159,come,0100000B00,0南
6分鐘,1,華江站,1037600320,25.032283,121.4889513,go,0100000100,1
6分鐘,2,人壽一村,1085800020,25.031523,121.4902758,go,0100000100,1
7分鐘,3,大理高中,1088300000,25.031919,121.491328,go,0100000100,1
8分鐘,4,華江派出所,1088300100,25.034114,121.4933405,go,0100000100,1
9分鐘,5,中國時報,1085500120,25.035221,121.496276,go,0100000100,1
11分鐘,6,捷運龍山寺站,1085500320,25.035143,121.500164,go,0100000100,1
12分鐘,7,昆明街口,1085100020,25.0351,121.5024902,go,0100000100,1
進站中,8,和平中華路口,1006800120,25.032422,121.5062725,go,0100000100,1
進站中,9,植物園,1007000220,25.030056,121.509834,go,0100000100,1
3分鐘,10,建國中學,1006600420,25.029178,121.513095,go,0100000100,1
4分鐘,11,自來水西分處(寧波),1007500020,25.029828,121.5157,go,0100000100,1
6分鐘,12,聯合醫院婦幼院區一,1007500340,25.029987,121.5180375,go,0100000100,1
7分鐘,13,南昌家具街,1008400140,25.027364,121.520315,go,0100000100,1
12分鐘,14,羅斯福金門街口,1008400340,25.024288,121.5243501,go,0100000100,1
13分鐘,15,羅斯福浦城街口,1064600340,25.022418,121.5260858,go,0100000100,1
進站中,16,捷運台電大樓站,1008900420,25.020027,121.528697,go,0100000100,1
進站中,17,台電大樓,1067300240,25.017546,121.531379,go,0100000100,1
3分鐘,18,捷運公館站,1009000140,25.014321,121.534722,go,0100000100,1
7分鐘,19,公館,1067300020,25.012096,121.5385308,go,0100000100,1
8分鐘,20,臺灣科技大學,1060700020,25.013453,121.5401488,go,0100000100,1
進站中,21,臺大癌醫(基隆路),1067200720,25.015521,121.5425256,go,0100000100,1
進站中,22,基隆長興街口,1067200320,25.017425,121.5448494,go,0100000100,1
3分鐘,23,和平高中,1105200100,25.01963,121.54746,go,0100000100,1
6分鐘,24,捷運六張犁站(基隆路),1067500200,25.023636,121.5519069,go,0100000100,1
7分鐘,25,喬治商職,1105400100,25.02628,121.5549231,go,0100000100,1
9分鐘,26,三興國小(臨江街觀光夜市),1105300100,25.028574,121.557017,go,0100000100,1
11分鐘,27,吳興街口,1105200000,25.031596,121.5588464,go,0100000100,1
13分鐘,28,世貿中心(莊敬),1104900140,25.031446,121.56127,go,0100000100,1
14分鐘,29,景新里,1104900440,25.02923,121.5624103,go,0100000100,1
14分鐘,30,臺北醫學大學,1105000340,25.028273,121.5632643,go,0100000100,1
16分鐘,31,信義國中(莊敬),1105000240,25.027402,121.565724,go,0100000100,1
17分鐘,32,吳興國小(莊敬),1105000020,25.026725,121.568122,go,0100000100,1
19分鐘,33,松仁路,1104600240,25.024432,121.569585,go,0100000100,1
,1,松仁路,1104600200,25.02453,121.5695997,go,0100000100,1
,2,吳興國小(松仁),1104600000,25.026234,121.568628,go,0100000100,1
,3,信義國中(莊敬),1105000200,25.027607,121.56521,go,0100000100,1
,4,臺北醫學大學,1105000300,25.028241,121.5634888,go,0100000100,1
,5,景新里,1104900400,25.029526,121.5623852,go,0100000100,1
,6,世貿中心(莊敬),1104900100,25.031399,121.561326,go,0100000100,1
,7,吳興街口,1105200040,25.031594,121.5586001,go,0100000100,1
,8,三興國小(臨江街觀光夜市),1067700140,25.028215,121.556522,go,0100000100,1
,9,喬治商職,1067500340,25.02633,121.5546403,go,0100000100,1
,10,捷運六張犁站(基隆路),1067500240,25.023428,121.551345,go,0100000100,1
,11,和平高中,1105200140,25.02024,121.54763,go,0100000100,1
,12,基隆長興街口,1067200460,25.018512,121.5456371,go,0100000100,1
,13,臺大癌醫(基隆路),1067200760,25.015713,121.5422472,go,0100000100,1
,14,臺灣科技大學,1060700060,25.014151,121.540464,go,0100000100,1
,15,公館,1067300060,25.012108,121.5380694,go,0100000100,1
,16,捷運公館站,1009000160,25.015228,121.534086,go,0100000100,1
,17,台電大樓,1067300200,25.018486,121.530566,go,0100000100,1
,18,捷運台電大樓站,1064700300,25.02092,121.52803,go,0100000100,1
,19,羅斯福浦城街口,1064600300,25.022311,121.5265002,go,0100000100,1
,20,羅斯福金門街口,1008400300,25.024106,121.5246768,go,0100000100,1
,21,捷運古亭站(羅斯福),1008400200,25.02678,121.52269,go,0100000100,1
,22,捷運古亭站(杭州),1064200100,25.02886,121.5219375,go,0100000100,1
,23,南福板溪(南昌公園),1007800060,25.02681,121.52053,go,0100000100,1
,24,牯嶺街,1007800300,25.02814,121.51789,go,0100000100,1
,25,自來水西分處(牯嶺),1007600100,25.029865,121.5166342,go,0100000100,1
,26,牯嶺街小劇場,1007500200,25.03176,121.51518,go,0100000100,1
