go_stop_number	go_stop_name	go_stop_id	go_latitude	go_longitude	come_stop_number	come_stop_name	come_stop_id	come_latitude	come_longitude		
0東	0100000A00										
7 	西湖圖書館(湖光教會)	1144700020 	25 	122 	7 	西湖圖書館(湖光教會)	1144700020 	25 	122 		
8 	捷運大安森林公園站	1065600420 	25 	122 	8 	捷運大安森林公園站	1065600420 	25 	122 		
8 	湖光國宅	1147500320 	25 	122 	8 	湖光國宅	1147500320 	25 	122 		
9 	捷運文德站(碧湖公園)	1147500220 	25 	122 	9 	捷運文德站(碧湖公園)	1147500220 	25 	122 		
9 	信義建國路口	1065800120 	25 	122 	9 	信義建國路口	1065800120 	25 	122 		
											
0南	0100000B00										
1	萬芳社區	1166500360	25.001753	121.570457	1	萬芳社區	1166500360	25.001753	121.570457		
1	信義永康街口(捷運東門站)	1065000320	25.033693	121.529727	1	信義永康街口(捷運東門站)	1065000320	25.033693	121.529727		
10	中國科技大學(興隆)	1169400000	25.000405	121.5557979	10	中國科技大學(興隆)	1169400000	25.000405	121.5557979		
10	景明街口	1168000020	25.001631	121.5422579	10	景明街口	1168000020	25.001631	121.5422579		
11	興隆國小	1169200360	25.001459	121.5530398	11	興隆國小	1169200360	25.001459	121.5530398		
11	憲光公寓	1168000140	24.999433	121.5438916	11	憲光公寓	1168000140	24.999433	121.5438916		
12	靜心高中	1168700320	24.998797	121.545859	12	靜心高中	1168700320	24.998797	121.545859		
12	興德國小	1169200560	25.000982	121.5500736	12	興德國小	1169200560	25.000982	121.5500736		
13	興隆市場	1168700020	24.999632	121.547902	13	興隆市場	1168700020	24.999632	121.547902		
13	興隆市場	1168900260	24.999584	121.5474484	13	興隆市場	1168900260	24.999584	121.5474484		
14	興德國小	1168900420	25.00097	121.5503078	14	興德國小	1168900420	25.00097	121.5503078		
14	靜心高中	1168700360	24.998953	121.545835	14	靜心高中	1168700360	24.998953	121.545835		
15	憲光公寓	1168000100	24.999719	121.5439365	15	憲光公寓	1168000100	24.999719	121.5439365		
15	興隆國小	1169000020	25.001221	121.5533283	15	興隆國小	1169000020	25.001221	121.5533283		
16	景明街口	1168200060	25.001808	121.5422591	16	景明街口	1168200060	25.001808	121.5422591		
16	捷運萬芳醫院站	1169500121	24.999051	121.557681	16	捷運萬芳醫院站	1169500121	24.999051	121.557681		
17	武功國小(興隆)	1168100060	25.004266	121.5399955	17	武功國小(興隆)	1168100060	25.004266	121.5399955		
17	臺灣警察專科學校	1169800240	24.998268	121.5584948	17	臺灣警察專科學校	1169800240	24.998268	121.5584948		
18	文山運動中心(萬芳)	1169600020	24.996958	121.56078	18	文山運動中心(萬芳)	1169600020	24.996958	121.56078		
18	師大分部	1167700000	25.00767	121.5384703	18	師大分部	1167700000	25.00767	121.5384703		
19	捷運公館站	1009000100	25.013993	121.535185	19	捷運公館站	1009000100	25.013993	121.535185		
19	棕櫚泉社區	1169600320	24.99729	121.56229	19	棕櫚泉社區	1169600320	24.99729	121.56229		
2	萬芳活動中心	1166500460	25.002436	121.569474	2	萬芳活動中心	1166500460	25.002436	121.569474		
2	金華新生路口	1065000240	25.03087	121.53346	2	金華新生路口	1065000240	25.03087	121.53346		
20	臺大	1067300800	25.018029	121.53375	20	臺大	1067300800	25.018029	121.53375		
20	萬利街口	1165300220	24.998733	121.56623	20	萬利街口	1165300220	24.998733	121.56623		
21	臺大綜合體育館	1066000100	25.021405	121.5343881	21	臺大綜合體育館	1066000100	25.021405	121.5343881		
21	捷運萬芳社區站	1165300120	24.998858	121.5680836	21	捷運萬芳社區站	1165300120	24.998858	121.5680836		
22	溫州街口	1064400460	25.026354	121.5326938	22	溫州街口	1064400460	25.026354	121.5326938		
22	萬芳6號公園	1165300500	24.999654	121.569055	22	萬芳6號公園	1165300500	24.999654	121.569055		
23	師大綜合大樓	1064400360	25.026622	121.53006	23	師大綜合大樓	1064400360	25.026622	121.53006		
23	萬芳國小	1165300460	25.001533	121.567472	23	萬芳國小	1165300460	25.001533	121.567472		
24	師大	1064400260	25.026738	121.5277134	24	師大	1064400260	25.026738	121.5277134		
24	萬芳活動中心	1166500420	25.002391	121.5683789	24	萬芳活動中心	1166500420	25.002391	121.5683789		
25	萬芳社區	1165300320	25.002253	121.5698159	25	萬芳社區	1165300320	25.002253	121.5698159		
25	金山潮州街口	1064400100	25.028663	121.526353	25	金山潮州街口	1064400100	25.028663	121.526353		
26	公企中心	1064200000	25.03066	121.52673	26	公企中心	1064200000	25.03066	121.52673		
